Filme,kausaladverb,3
Filme,klammernEckig,4
Filme,komma,76
Filme,zeitwörter,1
Filme,konjunktive,3
Filme,artikelBest,116
Filme,temporaladverb,7
Filme,artikelUnbest,42
Filme,zahl,45
Filme,doppelpunkt,4
Filme,modalverben,6
Filme,kausaladverb,5
Filme,klammernEckig,4
Filme,komma,105
Filme,zeitwörter,2
Filme,konjunktive,1
Filme,artikelBest,173
Filme,temporaladverb,10
Filme,artikelUnbest,35
Filme,modalverben,17
Filme,zahl,23
Filme,doppelpunkt,2
Filme,kausaladverb,4
Filme,komma,102
Filme,zeitwörter,1
Filme,konjunktive,2
Filme,artikelBest,129
Filme,temporaladverb,12
Filme,artikelUnbest,41
Filme,zahl,40
Filme,doppelpunkt,1
Filme,modalverben,8
Filme,kausaladverb,2
Filme,klammernEckig,8
Filme,komma,60
Filme,zeitwörter,3
Filme,konjunktive,2
Filme,artikelBest,106
